student_id,gender,classification,classification_sub,nationality,sg_pr_status,course_years_remaining,faculty,offered,application_term,course
24039,Female,Undergraduate,Senior UG,Indian,PR,5,Faculty of Science,No,2023-24 Semester 1 & 2,Bachelor of Science
24039,Female,Undergraduate,Senior UG,Indian,PR,5,Faculty of Science,Yes,2024-25 Semester 1 & 2,Bachelor of Science
24040,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,No,2022-23 Semester 1 & 2,Bachelor of Science
24041,Female,Undergraduate,USP Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24041,Female,Undergraduate,USP Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2023-24 Semester 1 & 2,Bachelor of Business Admin
24041,Female,Undergraduate,USP Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2024-25 Semester 1 & 2,Bachelor of Business Admin
24042,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24042,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24042,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2024-25 Semester 1 & 2,Bachelor of Business Admin
24043,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,7,Multi Disciplinary Programme,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering (CEG)
24044,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24044,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24044,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24045,Male,Undergraduate,Senior UG,Indian,Non PR,5,School of Computing,Yes,2024-25 Semester 1 & 2,Bachelor of Computing
24045,Male,Undergraduate,Senior UG,Indian,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24045,Male,Undergraduate,Senior UG,Indian,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24046,Female,Undergraduate,Senior UG,Indian,PR,5,Faculty of Science,Yes,2023-24 Semester 1 & 2,Bachelor of Science
24048,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,7,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24051,Male,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24051,Male,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24052,Female,Undergraduate,Senior UG,Indian,Non PR,5,NUS Business School,No,2022-23 Semester 1 & 2,Bachelor of Business Admin
24052,Female,Undergraduate,Senior UG,Indian,Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24054,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,7,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24055,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,7,Faculty of Science,No,2022-23 Semester 1 & 2,Bachelor of Science
24056,Male,Undergraduate,Senior UG,China,Non PR,5,Faculty of Arts & Social Sci,No,2024-25 Semester 1 & 2,Bachelor of Social Sciences
24056,Male,Undergraduate,Senior UG,China,Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24056,Male,Undergraduate,Senior UG,China,Non PR,5,Faculty of Arts & Social Sci,Yes,2023-24 Semester 1 & 2,Bachelor of Social Sciences
24057,Male,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24057,Male,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24058,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24058,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,No,2024-25 Semester 1 & 2,Bachelor of Engineering
24058,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24060,Female,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
